orth,base,ctag
powożącym,powozić,pact:sg:inst:m1:imperf:aff
powożącą,powozić,pact:sg:acc:f:imperf:aff
powraca,powracać,fin:sg:ter:imperf
powracają,powracać,fin:pl:ter:imperf
powracające,powracać,pact:sg:nom:n:imperf:aff
powracającego,powracać,pact:sg:gen:m1:imperf:aff
powracającej,powracać,pact:sg:gen:f:imperf:aff
powracających,powracać,pact:pl:gen:m1:imperf:aff
powracającym,powracać,pact:sg:inst:m1:imperf:aff
powracającą,powracać,pact:sg:acc:f:imperf:aff
powrocie,powrót,subst:sg:loc:m3
powrotem,powrót,subst:sg:inst:m3
powrotna,powrotny,adj:sg:nom:f:pos
powrotnego,powrotne,subst:sg:gen:n
powrotnej,powrotny,adj:sg:gen:f:pos
powrotnie,powrotnie,adv:pos
powrotny,powrotny,subst:sg:nom:m3
powrotnym,powrotne,subst:sg:inst:n
powrotowi,powrót,subst:sg:dat:m3
powrotu,powrót,subst:sg:gen:m3
powroza,powróz,subst:sg:gen:m3
powrozy,powróz,subst:pl:nom:m3
powróci,powrócić,fin:sg:ter:perf
powrócić,powrócić,inf:perf
powrócił,powrócić,praet:sg:m1:perf
powróciła,powrócić,praet:sg:f:perf
powróciły,powrócić,praet:pl:m2:perf
powrót,powrót,subst:sg:nom:m3
powróz,powróz,subst:sg:nom:m3
powstaje,powstawać,fin:sg:ter:imperf
powstają,powstawać,fin:pl:ter:imperf
powstające,powstawać,pact:sg:nom:n:imperf:aff
powstającego,powstawać,pact:sg:gen:m1:imperf:aff
powstającej,powstawać,pact:sg:gen:f:imperf:aff
powstający,powstawać,pact:sg:nom:m1:imperf:aff
powstających,powstawać,pact:pl:gen:m1:imperf:aff
powstającym,powstawać,pact:sg:inst:m1:imperf:aff
powstającymi,powstawać,pact:pl:inst:m1:imperf:aff
powstającą,powstawać,pact:sg:acc:f:imperf:aff
powstali,powstały,adj:pl:nom:m1:pos
powstania,powstanie,subst:sg:gen:n
powstaniach,powstanie,subst:pl:loc:n
powstanie,powstanie,subst:sg:nom:n
powstaniem,powstanie,subst:sg:inst:n
powstaniu,powstanie,subst:sg:dat:n
powstaną,powstać,fin:pl:ter:perf
powstawania,powstawanie,subst:sg:gen:n
powstawanie,powstawanie,subst:sg:nom:n
powstawaniem,powstawanie,subst:sg:inst:n
powstawaniu,powstawanie,subst:sg:dat:n
powstawać,powstawać,inf:imperf
powstać,powstać,inf:perf
powstał,powstać,praet:sg:m1:perf
powstała,powstały,adj:sg:nom:f:pos
powstała,powstać,praet:sg:f:perf
by,by,qub
powstał,powstać,praet:sg:m1:perf
by,by,qub
powstałe,powstały,adj:sg:nom:n:pos
powstałego,powstały,adj:sg:gen:m1:pos
powstałej,powstały,adj:sg:gen:f:pos
powstałemu,powstały,adj:sg:dat:m1:pos
powstało,powstać,praet:sg:n:perf
powstało,powstać,praet:sg:n:perf
by,by,qub
powstały,powstały,adj:sg:nom:m1:pos
powstałych,powstały,adj:pl:gen:m1:pos
powstałym,powstały,adj:sg:inst:m1:pos
powstałymi,powstały,adj:pl:inst:m1:pos
powstałą,powstały,adj:sg:acc:f:pos
powstań,powstanie,subst:pl:gen:n
powstańczego,powstańczy,adj:sg:gen:m1:pos
powstańczy,powstańczy,adj:sg:nom:m1:pos
powstańców,powstaniec,subst:pl:gen:m1
powstrzymania,powstrzymać,ger:sg:gen:n:perf:aff
powstrzymanie,powstrzymać,ger:sg:nom:n:perf:aff
powstrzymaną,powstrzymać,ppas:sg:acc:f:perf:aff
powstrzymać,powstrzymać,inf:perf
powstrzymuje,powstrzymywać,fin:sg:ter:imperf
powszechna,powszechny,adj:sg:nom:f:pos
powszechne,powszechny,adj:sg:nom:n:pos
powszechnego,powszechny,adj:sg:gen:m1:pos
powszechnej,powszechny,adj:sg:gen:f:pos
powszechnemu,powszechny,adj:sg:dat:m1:pos
powszechnie,powszechnie,adv:pos
powszechności,powszechność,subst:sg:gen:f
powszechność,powszechność,subst:sg:nom:f
powszechny,powszechny,adj:sg:nom:m1:pos
powszechnych,powszechny,adj:pl:gen:m1:pos
powszechnym,powszechny,adj:sg:inst:m1:pos
powszechnymi,powszechny,adj:pl:inst:m1:pos
powszechną,powszechny,adj:sg:acc:f:pos
powszednie,powszedni,adj:sg:nom:n:pos
powtarza,powtarzać,fin:sg:ter:imperf
powtarzając,powtarzać,pcon:imperf
powtarzające,powtarzać,pact:sg:nom:n:imperf:aff
powtarzającego,powtarzać,pact:sg:gen:m1:imperf:aff
powtarzający,powtarzać,pact:sg:nom:m1:imperf:aff
powtarzających,powtarzać,pact:pl:gen:m1:imperf:aff
powtarzalnego,powtarzalny,adj:sg:gen:m1:pos
powtarzalnej,powtarzalny,adj:sg:gen:f:pos
powtarzalności,powtarzalność,subst:sg:gen:f
powtarzalność,powtarzalność,subst:sg:nom:f
powtarzalny,powtarzalny,adj:sg:nom:m1:pos
powtarzalnych,powtarzalny,adj:pl:gen:m1:pos
powtarzana,powtarzać,ppas:sg:nom:f:imperf:aff
powtarzane,powtarzać,ppas:sg:nom:n:imperf:aff
powtarzania,powtarzać,ger:sg:gen:n:imperf:aff
powtarzany,powtarzać,ppas:sg:nom:m1:imperf:aff
powtarzanych,powtarzać,ppas:pl:gen:m1:imperf:aff
powtrnego,powtrnego,ign
powtórna,powtórny,adj:sg:nom:f:pos
powtórne,powtórny,adj:sg:nom:n:pos
powtórnego,powtórny,adj:sg:gen:m1:pos
powtórnej,powtórny,adj:sg:gen:f:pos
powtórnemu,powtórny,adj:sg:dat:m1:pos
powtórnie,powtórnie,adv:pos
powtórny,powtórny,adj:sg:nom:m1:pos
powtórnym,powtórny,adj:sg:inst:m1:pos
powtórną,powtórny,adj:sg:acc:f:pos
powtórzenia,powtórzenie,subst:sg:gen:n
powtórzenie,powtórzenie,subst:sg:nom:n
powtórzeniu,powtórzenie,subst:sg:dat:n
powtórzone,powtórzyć,ppas:sg:nom:n:perf:aff
powtórzony,powtórzyć,ppas:sg:nom:m1:perf:aff
powtórzyć,powtórzyć,inf:perf
powykonawczej,powykonawczy,adj:sg:gen:f:pos
powykonawczą,powykonawczy,adj:sg:acc:f:pos
powypadkowe,powypadkowy,adj:sg:nom:n:pos
powypadkowego,powypadkowy,adj:sg:gen:m1:pos
powypadkowej,powypadkowy,adj:sg:gen:f:pos
powypadkowy,powypadkowy,adj:sg:nom:m1:pos
powypadkowymi,powypadkowy,adj:pl:inst:m1:pos
powyż,powyż,adv:pos
powyżej,powyżej,adv:pos
powyższe,powyższe,subst:sg:nom:n
powyższego,powyższe,subst:sg:gen:n
powyższej,powyższy,adj:sg:gen:f:pos
powyższy,powyższy,adj:sg:nom:m1:pos
powyższych,powyższe,subst:pl:gen:n
powyższym,powyższe,subst:sg:inst:n
powyższą,powyższy,adj:sg:acc:f:pos
powziąwszy,powziąć,pant:perf
powziąć,powziąć,inf:perf
powziął,powziąć,praet:sg:m1:perf
powziął,powziąć,praet:sg:m1:perf
em,być,aglt:sg:pri:imperf:wok
powzięcia,powziąć,ger:sg:gen:n:perf:aff
powzięcie,powziąć,ger:sg:nom:n:perf:aff
powzięciem,powziąć,ger:sg:inst:n:perf:aff
powzięciu,powziąć,ger:sg:dat:n:perf:aff
powzięli,powziąć,praet:pl:m1:perf
powzięta,powziąć,ppas:sg:nom:f:perf:aff
powzięte,powziąć,ppas:sg:nom:n:perf:aff
powziętego,powziąć,ppas:sg:gen:m1:perf:aff
powziętej,powziąć,ppas:sg:gen:f:perf:aff
powzięto,powziąć,imps:perf
powziętych,powziąć,ppas:pl:gen:m1:perf:aff
powziętą,powziąć,ppas:sg:acc:f:perf:aff
powzięło,powziąć,praet:sg:n:perf
powzięły,powziąć,praet:pl:m2:perf
powód,powód,subst:sg:nom:m1
powództw,powództwo,subst:pl:gen:n
powództwa,powództwo,subst:sg:gen:n
powództwem,powództwo,subst:sg:inst:n
powództwie,powództwo,subst:sg:loc:n
powództwo,powództwo,subst:sg:nom:n
powódź,powódź,subst:sg:nom:f
powłok,powłok,subst:sg:nom:m3
powłokami,powłok,subst:pl:inst:m3
powłoki,powłok,subst:pl:nom:m3
pox,pox,ign
poz,poz,ign
poza,poza,prep:acc
pozaaptecznego,pozaapteczny,adj:sg:gen:m1:pos
pozabilansowe,pozabilansowy,adj:sg:nom:n:pos
pozabilansowych,pozabilansowy,adj:pl:gen:m1:pos
pozabudżetowe,pozabudżetowy,adj:sg:nom:n:pos
pozabudżetowej,pozabudżetowy,adj:sg:gen:f:pos
pozabudżetowych,pozabudżetowy,adj:pl:gen:m1:pos
pozacenowych,pozacenowy,adj:pl:gen:m1:pos
pozachromosomową,pozachromosomowy,adj:sg:acc:f:pos
pozaetatowego,pozaetatowy,adj:sg:gen:m1:pos
pozaetatowi,pozaetatowy,adj:pl:nom:m1:pos
pozaetatowy,pozaetatowy,adj:sg:nom:m1:pos
pozaetatowych,pozaetatowy,adj:pl:gen:m1:pos
pozaetatowym,pozaetatowy,adj:sg:inst:m1:pos
pozagiełdowe,pozagiełdowy,adj:sg:nom:n:pos
pozagiełdowego,pozagiełdowy,adj:sg:gen:m1:pos
pozagiełdowy,pozagiełdowy,adj:sg:nom:m1:pos
pozagiełdowym,pozagiełdowy,adj:sg:inst:m1:pos
pozagospodarczego,pozagospodarczy,adj:sg:gen:m1:pos
pozagospodarczy,pozagospodarczy,adj:sg:nom:m1:pos
pozainstancyjnego,pozainstancyjny,adj:sg:gen:m1:pos
pozainstancyjny,pozainstancyjny,adj:sg:nom:m1:pos
pozajelitowego,pozajelitowy,adj:sg:gen:m1:pos
pozakrajowej,pozakrajowy,adj:sg:gen:f:pos
pozaksięgowej,pozaksięgowy,adj:sg:gen:f:pos
pozaksięgową,pozaksięgowy,adj:sg:acc:f:pos
pozalekcyjne,pozalekcyjny,adj:sg:nom:n:pos
pozalekcyjnych,pozalekcyjny,adj:pl:gen:m1:pos
pozamuzealnymi,pozamuzealny,adj:pl:inst:m1:pos
pozaplanowe,pozaplanowy,adj:sg:nom:n:pos
pozapłacowe,pozapłacowy,adj:sg:nom:n:pos
pozarolnicza,pozarolniczy,adj:sg:nom:f:pos
pozarolnicze,pozarolniczy,adj:sg:nom:n:pos
pozarolniczej,pozarolniczy,adj:sg:gen:f:pos
pozarolnicznej,pozarolnicznej,ign
pozarolniczych,pozarolniczy,adj:pl:gen:m1:pos
pozarolniczą,pozarolniczy,adj:sg:acc:f:pos
pozarządowa,pozarządowy,adj:sg:nom:f:pos
pozarządowe,pozarządowy,adj:sg:nom:n:pos
pozarządowej,pozarządowy,adj:sg:gen:f:pos
pozarządowych,pozarządowy,adj:pl:gen:m1:pos
pozarządowym,pozarządowy,adj:sg:inst:m1:pos
pozarządowymi,pozarządowy,adj:pl:inst:m1:pos
pozastudyjnych,pozastudyjny,adj:pl:gen:m1:pos
pozaszkolnego,pozaszkolny,adj:sg:gen:m1:pos
pozaszkolnej,pozaszkolny,adj:sg:gen:f:pos
pozaszkolnych,pozaszkolny,adj:pl:gen:m1:pos
pozaszpitalnych,pozaszpitalny,adj:pl:gen:m1:pos
pozasądowych,pozasądowy,adj:pl:gen:m1:pos
pozasłużbowego,pozasłużbowy,adj:sg:gen:m1:pos
pozasłużbowych,pozasłużbowy,adj:pl:gen:m1:pos
pozataryfowa,pozataryfowy,adj:sg:nom:f:pos
pozataryfowe,pozataryfowy,adj:sg:nom:n:pos
pozataryfowej,pozataryfowy,adj:sg:gen:f:pos
pozataryfowych,pozataryfowy,adj:pl:gen:m1:pos
pozatechnicznego,pozatechniczny,adj:sg:gen:m1:pos
pozaubezpieczeniowych,pozaubezpieczeniowy,adj:pl:gen:m1:pos
pozaumownej,pozaumowny,adj:sg:gen:f:pos
pozaustrojowe,pozaustrojowy,adj:sg:nom:n:pos
pozawerbalne,pozawerbalny,adj:sg:nom:n:pos
pozawspólnotowych,pozawspólnotowy,adj:pl:gen:m1:pos
pozbawi,pozbawić,fin:sg:ter:perf
pozbawia,pozbawiać,fin:sg:ter:imperf
pozbawiają,pozbawiać,fin:pl:ter:imperf
pozbawiająca,pozbawiać,pact:sg:nom:f:imperf:aff
pozbawiania,pozbawiać,ger:sg:gen:n:imperf:aff
pozbawianie,pozbawiać,ger:sg:nom:n:imperf:aff
pozbawianiu,pozbawiać,ger:sg:dat:n:imperf:aff
pozbawieni,pozbawić,ppas:pl:nom:m1:perf:aff
pozbawienia,pozbawienie,subst:sg:gen:n
pozbawienie,pozbawienie,subst:sg:nom:n
pozbawieniem,pozbawienie,subst:sg:inst:n
pozbawieniu,pozbawienie,subst:sg:dat:n
pozbawiona,pozbawić,ppas:sg:nom:f:perf:aff
pozbawione,pozbawić,ppas:sg:nom:n:perf:aff
pozbawionego,pozbawić,ppas:sg:gen:m1:perf:aff
pozbawionej,pozbawić,ppas:sg:gen:f:perf:aff
pozbawionemu,pozbawić,ppas:sg:dat:m1:perf:aff
pozbawiono,pozbawić,imps:perf
pozbawiony,pozbawić,ppas:sg:nom:m1:perf:aff
pozbawionych,pozbawić,ppas:pl:gen:m1:perf:aff
pozbawionym,pozbawić,ppas:sg:inst:m1:perf:aff
pozbawionymi,pozbawić,ppas:pl:inst:m1:perf:aff
pozbawioną,pozbawić,ppas:sg:acc:f:perf:aff
pozbawić,pozbawić,inf:perf
pozbycia,pozbyć,ger:sg:gen:n:perf:aff
pozbycie,pozbyć,ger:sg:nom:n:perf:aff
pozbywa,pozbywać,fin:sg:ter:imperf
pozbywania,pozbywać,ger:sg:gen:n:imperf:aff
pozbywanie,pozbywać,ger:sg:nom:n:imperf:aff
pozbyć,pozbyć,inf:perf
pozbył,pozbyć,praet:sg:m1:perf
pozew,pozew,subst:sg:nom:m3
poziom,poziom,subst:sg:nom:m3
poziomach,poziom,subst:pl:loc:m3
poziomami,poziom,subst:pl:inst:m3
poziome,poziomy,adj:sg:nom:n:pos
poziomego,poziomy,adj:sg:gen:m1:pos
poziomej,poziomy,adj:sg:gen:f:pos
poziomem,poziom,subst:sg:inst:m3
poziomie,poziom,subst:sg:loc:m3
poziomowi,poziom,subst:sg:dat:m3
poziomu,poziom,subst:sg:gen:m3
poziomy,poziom,subst:pl:nom:m3
poziomym,poziomy,adj:sg:inst:m1:pos
poziomów,poziom,subst:pl:gen:m3
poznane,poznać,ppas:sg:nom:n:perf:aff
poznania,poznanie,subst:sg:gen:n
poznanie,poznanie,subst:sg:nom:n
poznaniu,poznanie,subst:sg:dat:n
poznawcze,poznawczy,adj:sg:nom:n:pos
poznawczego,poznawczy,adj:sg:gen:m1:pos
poznawczej,poznawczy,adj:sg:gen:f:pos
poznawczych,poznawczy,adj:pl:gen:m1:pos
poznawczym,poznawczy,adj:sg:inst:m1:pos
poznań,poznanie,subst:pl:gen:n
poznański,poznański,adj:sg:nom:m1:pos
poznańskiego,poznański,adj:sg:gen:m1:pos
pozoracji,pozoracja,subst:sg:gen:f
pozornej,pozorny,adj:sg:gen:f:pos
pozornie,pozornie,adv:pos
pozornych,pozorny,adj:pl:gen:m1:pos
pozorną,pozorny,adj:sg:acc:f:pos
pozorolniczych,pozorolniczych,ign
pozostaje,pozostawać,fin:sg:ter:imperf
pozostają,pozostawać,fin:pl:ter:imperf
pozostając,pozostawać,pcon:imperf
pozostająca,pozostawać,pact:sg:nom:f:imperf:aff
pozostające,pozostawać,pact:sg:nom:n:imperf:aff
pozostającego,pozostawać,pact:sg:gen:m1:imperf:aff
pozostającej,pozostawać,pact:sg:gen:f:imperf:aff
pozostającemu,pozostawać,pact:sg:dat:m1:imperf:aff
pozostający,pozostawać,pact:sg:nom:m1:imperf:aff
pozostających,pozostawać,pact:pl:gen:m1:imperf:aff
pozostającym,pozostawać,pact:sg:inst:m1:imperf:aff
pozostającymi,pozostawać,pact:pl:inst:m1:imperf:aff
pozostającą,pozostawać,pact:sg:acc:f:imperf:aff
pozostali,pozostały,adj:pl:nom:m1:pos
pozostalości,pozostalości,ign
pozostania,pozostać,ger:sg:gen:n:perf:aff
pozostanie,pozostać,ger:sg:nom:n:perf:aff
pozostawali,pozostawać,praet:pl:m1:imperf
pozostawania,pozostawać,ger:sg:gen:n:imperf:aff
pozostawanie,pozostawać,ger:sg:nom:n:imperf:aff
pozostawaniem,pozostawać,ger:sg:inst:n:imperf:aff
pozostawaniu,pozostawać,ger:sg:dat:n:imperf:aff
pozostawać,pozostawać,inf:imperf
pozostawał,pozostawać,praet:sg:m1:imperf
pozostawała,pozostawać,praet:sg:f:imperf
pozostawało,pozostawać,praet:sg:n:imperf
pozostawały,pozostawać,praet:pl:m2:imperf
pozostawały,pozostawać,praet:pl:m2:imperf
by,by,qub
pozostawia,pozostawiać,fin:sg:ter:imperf
pozostawiają,pozostawiać,fin:pl:ter:imperf
pozostawiając,pozostawiać,pcon:imperf
pozostawiające,pozostawiać,pact:sg:nom:n:imperf:aff
pozostawiania,pozostawiać,ger:sg:gen:n:imperf:aff
pozostawienia,pozostawić,ger:sg:gen:n:perf:aff
pozostawienie,pozostawić,ger:sg:nom:n:perf:aff
pozostawieniem,pozostawić,ger:sg:inst:n:perf:aff
pozostawieniu,pozostawić,ger:sg:dat:n:perf:aff
pozostawiona,pozostawić,ppas:sg:nom:f:perf:aff
pozostawione,pozostawić,ppas:sg:nom:n:perf:aff
pozostawionego,pozostawić,ppas:sg:gen:m1:perf:aff
pozostawionemu,pozostawić,ppas:sg:dat:m1:perf:aff
pozostawiono,pozostawić,imps:perf
pozostawiony,pozostawić,ppas:sg:nom:m1:perf:aff
pozostawionych,pozostawić,ppas:pl:gen:m1:perf:aff
pozostawić,pozostawić,inf:perf
pozostawił,pozostawić,praet:sg:m1:perf
pozostać,pozostać,inf:perf
pozostał,pozostać,praet:sg:m1:perf
pozostała,pozostały,adj:sg:nom:f:pos
pozostał,pozostać,praet:sg:m1:perf
by,by,qub
pozostałe,pozostały,adj:sg:nom:n:pos
pozostałego,pozostały,adj:sg:gen:m1:pos
pozostałej,pozostały,adj:sg:gen:f:pos
pozostało,pozostać,praet:sg:n:perf
pozostałości,pozostałość,subst:sg:gen:f
pozostałościami,pozostałość,subst:pl:inst:f
pozostałością,pozostałość,subst:sg:inst:f
pozostałość,pozostałość,subst:sg:nom:f
pozostały,pozostały,adj:sg:nom:m1:pos
pozostałyc,pozostałyc,ign
pozostałych,pozostały,adj:pl:gen:m1:pos
pozostałym,pozostały,adj:sg:inst:m1:pos
pozostałymi,pozostały,adj:pl:inst:m1:pos
pozostałą,pozostały,adj:sg:acc:f:pos
pozwala,pozwalać,fin:sg:ter:imperf
pozwalają,pozwalać,fin:pl:ter:imperf
pozwalająca,pozwalać,pact:sg:nom:f:imperf:aff
pozwalające,pozwalać,pact:sg:nom:n:imperf:aff
pozwalającego,pozwalać,pact:sg:gen:m1:imperf:aff
pozwalającej,pozwalać,pact:sg:gen:f:imperf:aff
pozwalający,pozwalać,pact:sg:nom:m1:imperf:aff
pozwalających,pozwalać,pact:pl:gen:m1:imperf:aff
pozwalającym,pozwalać,pact:sg:inst:m1:imperf:aff
pozwalającymi,pozwalać,pact:pl:inst:m1:imperf:aff
pozwalającą,pozwalać,pact:sg:acc:f:imperf:aff
pozwalała,pozwalać,praet:sg:f:imperf
pozwalało,pozwalać,praet:sg:n:imperf
pozwalały,pozwalać,praet:pl:m2:imperf
pozwana,pozwana,subst:sg:nom:f
pozwanego,pozwany,subst:sg:gen:m1
pozwanej,pozwana,subst:sg:gen:f
pozwanemu,pozwany,subst:sg:dat:m1
pozwani,pozwany,subst:pl:nom:m1
pozwano,pozwać,imps:perf
pozwany,pozwany,subst:sg:nom:m1
pozwanych,pozwana,subst:pl:gen:f
pozwaną,pozwana,subst:sg:acc:f
pozwem,pozew,subst:sg:inst:m3
pozwie,pozew,subst:sg:loc:m3
pozwolenia,pozwolenie,subst:sg:gen:n
pozwoleniach,pozwolenie,subst:pl:loc:n
pozwoleniami,pozwolenie,subst:pl:inst:n
pozwolenie,pozwolenie,subst:sg:nom:n
pozwoleniem,pozwolenie,subst:sg:inst:n
pozwoleniu,pozwolenie,subst:sg:dat:n
pozwoleń,pozwolenie,subst:pl:gen:n
pozwoli,pozwolić,fin:sg:ter:perf
pozwolić,pozwolić,inf:perf
pozwoliła,pozwolić,praet:sg:f:perf
pozwoliło,pozwolić,praet:sg:n:perf
by,by,qub
pozwolą,pozwolić,fin:pl:ter:perf
pozwu,pozew,subst:sg:gen:m3
pozwów,pozew,subst:pl:gen:m3
pozycja,pozycja,subst:sg:nom:f
pozycjach,pozycja,subst:pl:loc:f
pozycjami,pozycja,subst:pl:inst:f
pozycje,pozycja,subst:pl:nom:f
pozycji,pozycja,subst:sg:gen:f
pozycją,pozycja,subst:sg:inst:f
pozycję,pozycja,subst:sg:acc:f
pozycyjnych,pozycyjny,adj:pl:gen:m1:pos
pozyskana,pozyskać,ppas:sg:nom:f:perf:aff
pozyskane,pozyskać,ppas:sg:nom:n:perf:aff
pozyskanego,pozyskać,ppas:sg:gen:m1:perf:aff
pozyskanej,pozyskać,ppas:sg:gen:f:perf:aff
pozyskania,pozyskanie,subst:sg:gen:n
pozyskanie,pozyskanie,subst:sg:nom:n
pozyskaniem,pozyskanie,subst:sg:inst:n
pozyskaniu,pozyskanie,subst:sg:dat:n
pozyskany,pozyskać,ppas:sg:nom:m1:perf:aff
pozyskanych,pozyskać,ppas:pl:gen:m1:perf:aff
pozyskanymi,pozyskać,ppas:pl:inst:m1:perf:aff
pozyskaną,pozyskać,ppas:sg:acc:f:perf:aff
pozyskać,pozyskać,inf:perf
pozyskał,pozyskać,praet:sg:m1:perf
pozyskiwane,pozyskiwać,ppas:sg:nom:n:imperf:aff
pozyskiwanej,pozyskiwać,ppas:sg:gen:f:imperf:aff
pozyskiwania,pozyskiwać,ger:sg:gen:n:imperf:aff
pozyskiwanie,pozyskiwać,ger:sg:nom:n:imperf:aff
pozyskiwaniem,pozyskiwać,ger:sg:inst:n:imperf:aff
pozyskiwaniu,pozyskiwać,ger:sg:dat:n:imperf:aff
pozyskiwanych,pozyskiwać,ppas:pl:gen:m1:imperf:aff
pozyskiwanymi,pozyskiwać,ppas:pl:inst:m1:imperf:aff
pozyskiwaną,pozyskiwać,ppas:sg:acc:f:imperf:aff
pozyskiwać,pozyskiwać,inf:imperf
pozyskuje,pozyskiwać,fin:sg:ter:imperf
pozyskujące,pozyskiwać,pact:sg:nom:n:imperf:aff
pozytywna,pozytywny,adj:sg:nom:f:pos
pozytywne,pozytywny,adj:sg:nom:n:pos
pozytywnego,pozytywny,adj:sg:gen:m1:pos
pozytywnej,pozytywny,adj:sg:gen:f:pos
pozytywnie,pozytywnie,adv:pos
pozytywny,pozytywny,adj:sg:nom:m1:pos
pozytywnych,pozytywny,adj:pl:gen:m1:pos
pozytywnym,pozytywny,adj:sg:inst:m1:pos
pozytywną,pozytywny,adj:sg:acc:f:pos
pozywających,pozywać,pact:pl:gen:m1:imperf:aff
pozywana,pozywać,ppas:sg:nom:f:imperf:aff
pozywane,pozywać,ppas:sg:nom:n:imperf:aff
pozywany,pozywać,ppas:sg:nom:m1:imperf:aff
pozywać,pozywać,inf:imperf
pozłacanie,pozłacać,ger:sg:nom:n:imperf:aff
pozłacanych,pozłacany,adj:pl:gen:m1:pos
pozłotnictwa,pozłotnictwo,subst:sg:gen:n
poławia,poławiać,fin:sg:ter:imperf
poławiającego,poławiać,pact:sg:gen:m1:imperf:aff
poławiane,poławiać,ppas:sg:nom:n:imperf:aff
poławiania,poławiać,ger:sg:gen:n:imperf:aff
poławianie,poławiać,ger:sg:nom:n:imperf:aff
poławianych,poławiać,ppas:pl:gen:m1:imperf:aff
poławiać,poławiać,inf:imperf
połogiem,połóg,subst:sg:inst:m3
połogowy,połogowy,adj:sg:nom:m1:pos
połogu,połóg,subst:sg:gen:m3
połowa,połowa,subst:sg:nom:f
połowach,połowa,subst:pl:loc:f
połowem,połów,subst:sg:inst:m3
połowicznego,połowiczny,adj:sg:gen:m1:pos
połowie,połowa,subst:sg:dat:f
połowowa,połowowy,adj:sg:nom:f:pos
połowowe,połowowy,adj:sg:nom:n:pos
połowowego,połowowy,adj:sg:gen:m1:pos
połowowej,połowowy,adj:sg:gen:f:pos
połowowy,połowowy,adj:sg:nom:m1:pos
połowowych,połowowy,adj:pl:gen:m1:pos
połowowym,połowowy,adj:sg:inst:m1:pos
połowowymi,połowowy,adj:pl:inst:m1:pos
połowową,połowowy,adj:sg:acc:f:pos
połowu,połów,subst:sg:gen:m3
połowy,połowa,subst:sg:gen:f
połowów,połów,subst:pl:gen:m3
połową,połowa,subst:sg:inst:f
połowę,połowa,subst:sg:acc:f
położenia,położenie,subst:sg:gen:n
położenie,położenie,subst:sg:nom:n
położeniem,położenie,subst:sg:inst:n
położeniu,położenie,subst:sg:dat:n
położna,położna,subst:sg:nom:f
położne,położna,subst:pl:nom:f
położnego,położny,subst:sg:gen:m1
położnej,położna,subst:sg:gen:f
położnictwa,położnictwo,subst:sg:gen:n
położnictwo,położnictwo,subst:sg:nom:n
położniczego,położniczy,adj:sg:gen:m1:pos
położniczej,położniczy,adj:sg:gen:f:pos
położniczych,położniczy,adj:pl:gen:m1:pos
położnicą,położnica,subst:sg:inst:f
położnika,położnik,subst:sg:gen:m1
położnych,położna,subst:pl:gen:f
położnym,położna,subst:pl:dat:f
położnymi,położna,subst:pl:inst:f
położną,położna,subst:sg:acc:f
położona,położyć,ppas:sg:nom:f:perf:aff
położone,położyć,ppas:sg:nom:n:perf:aff
położonego,położyć,ppas:sg:gen:m1:perf:aff
położonej,położyć,ppas:sg:gen:f:perf:aff
położono,położyć,imps:perf
położony,położyć,ppas:sg:nom:m1:perf:aff
położonych,położyć,ppas:pl:gen:m1:perf:aff
położonym,położyć,ppas:sg:inst:m1:perf:aff
położonymi,położyć,ppas:pl:inst:m1:perf:aff
położoną,położyć,ppas:sg:acc:f:perf:aff
położyły,położyć,praet:pl:m2:perf
południe,południe,subst:sg:nom:n
południowa,południowy,adj:sg:nom:f:pos
południowego,południowy,adj:sg:gen:m1:pos
południowej,południowy,adj:sg:gen:f:pos
południowo,południowo,adv:pos
południowozachodni,południowozachodni,adj:sg:nom:m1:pos
południowy,południowy,adj:sg:nom:m1:pos
południowych,południowy,adj:pl:gen:m1:pos
połów,połowa,subst:pl:gen:f
połączenia,połączenie,subst:sg:gen:n
połączeniach,połączenie,subst:pl:loc:n
połączenie,połączenie,subst:sg:nom:n
połączeniem,połączenie,subst:sg:inst:n
połączeniowej,połączeniowy,adj:sg:gen:f:pos
połączeniu,połączenie,subst:sg:dat:n
połączeń,połączenie,subst:pl:gen:n
połączona,połączyć,ppas:sg:nom:f:perf:aff
połączone,połączyć,ppas:sg:nom:n:perf:aff
połączonego,połączyć,ppas:sg:gen:m1:perf:aff
połączonej,połączyć,ppas:sg:gen:f:perf:aff
połączony,połączyć,ppas:sg:nom:m1:perf:aff
połączonych,połączyć,ppas:pl:gen:m1:perf:aff
połączonym,połączyć,ppas:sg:inst:m1:perf:aff
połączy,połączyć,fin:sg:ter:perf
połączyć,połączyć,inf:perf
pończoch,pończocha,subst:pl:gen:f
pończosznicze,pończoszniczy,adj:sg:nom:n:pos
pościel,pościel,subst:sg:nom:f
pościelowa,pościelowy,adj:sg:nom:f:pos
pościelowej,pościelowy,adj:sg:gen:f:pos
pościgu,pościg,subst:sg:gen:m3
pośmiertna,pośmiertny,adj:sg:nom:f:pos
pośmiertne,pośmiertny,adj:sg:nom:n:pos
pośmiertnego,pośmiertny,adj:sg:gen:m1:pos
pośmiertnej,pośmiertny,adj:sg:gen:f:pos
pośmiertnie,pośmiertnie,adv:pos
pośmiertną,pośmiertny,adj:sg:acc:f:pos
pośredni,pośredni,adj:sg:nom:m1:pos
pośrednia,pośredni,adj:sg:nom:f:pos
