orth,base,cat
poszukującym,poszukujący,adj
poszukującą,poszukujący,adj
posągi,posąg,subst
posła,poseł,subst
posłami,poseł,subst
posłannictwem,posłannictwo,subst
posłom,poseł,subst
posłowi,poseł,subst
posłowie,poseł,subst
posłuchu,posłuch,subst
posług,posługa,subst
posługach,posługa,subst
posługi,posługa,subst
posługiwali,posługiwać,praet
posługiwania,posługiwać,ger
posługiwanie,posługiwać,ger
posługiwaniem,posługiwać,ger
posługiwaniu,posługiwać,ger
posługiwać,posługiwać,inf
posługiwał,posługiwać,praet
posługiwała,posługiwać,praet
posługuje,posługiwać,fin
posługują,posługiwać,fin
posługując,posługiwać,pcon
posługujące,posługująca,subst
posługującego,posługujący,subst
posługujących,posługująca,subst
posłużenia,posłużyć,ger
posłużenie,posłużyć,ger
posłużono,posłużyć,imps
posłużą,posłużyć,fin
posłów,poseł,subst
pota,Pot,subst
potas,potas,subst
potasowa,potasowy,adj
potasowe,potasowy,adj
potasowego,potasowy,adj
potasowej,potasowy,adj
potasowy,potasowy,adj
potasowyc,potasowyc,ign
potasowych,potasowy,adj
potasu,potas,subst
potasuzawartość,potasuzawartość,ign
potem,potem,adv
potencjale,potencjał,subst
potencjalna,potencjalny,adj
potencjalne,potencjalny,adj
potencjalnego,potencjalny,adj
potencjalnej,potencjalny,adj
potencjalnie,potencjalnie,adv
potencjalny,potencjalny,adj
potencjalnych,potencjalny,adj
potencjalnym,potencjalny,adj
potencjalną,potencjalny,adj
potencjał,potencjał,subst
potencjałem,potencjał,subst
potencjału,potencjał,subst
potne,potny,adj
potoczna,potoczny,adj
potocznego,potoczny,adj
potoczną,potoczny,adj
potokach,potok,subst
potoku,potok,subst
potoków,potok,subst
potomkom,potomek,subst
potomnym,potomny,adj
potomstwa,potomstwo,subst
potomstwo,potomstwo,subst
potomstwu,potomstwo,subst
potraktowanie,potraktować,ger
potraw,potraw,subst
potrzeb,potrzeb,subst
potrzeba,potrzeba,pred
potrzebach,potrzeba,subst
potrzebami,potrzeba,subst
potrzebie,potrzeb,subst
potrzebna,potrzebny,adj
potrzebne,potrzebny,depr
potrzebnego,potrzebny,subst
potrzebnej,potrzebny,adj
potrzebny,potrzebny,subst
potrzebnych,potrzebny,subst
potrzebnym,potrzebny,subst
potrzebnymi,potrzebny,subst
potrzebną,potrzebny,adj
potrzebom,potrzeba,subst
potrzebującej,potrzebująca,subst
potrzebujących,potrzebująca,subst
potrzebującym,potrzebująca,subst
potrzeby,potrzeba,subst
potrzebą,potrzeba,subst
potrzebę,potrzeba,subst
potrąca,potrącać,fin
potrącają,potrącać,fin
potrącalne,potrącalny,adj
potrącana,potrącać,ppas
potrącane,potrącać,ppas
potrącania,potrącać,ger
potrącanie,potrącać,ger
potrącaniu,potrącać,ger
potrącany,potrącać,ppas
potrącaną,potrącać,ppas
potrącać,potrącać,inf
potrącenia,potrącenie,subst
potrąceniach,potrącenie,subst
potrąceniami,potrącenie,subst
potrącenie,potrącenie,subst
potrąceniem,potrącenie,subst
potrąceniom,potrącenie,subst
potrąceniu,potrącenie,subst
potrąceń,potrącenie,subst
potrącić,potrącić,inf
potrącił,potrącić,praet
potrącona,potrącić,ppas
potrącone,potrącić,ppas
potrąconego,potrącić,ppas
potrąconej,potrącić,ppas
potrącono,potrącić,imps
potrąconych,potrącić,ppas
potrąconymi,potrącić,ppas
potrąconą,potrącić,ppas
potwierdza,potwierdzać,fin
potwierdzają,potwierdzać,fin
potwierdzając,potwierdzać,pcon
potwierdzająca,potwierdzający,adj
potwierdzające,potwierdzający,adj
potwierdzającego,potwierdzający,adj
potwierdzającej,potwierdzający,adj
potwierdzający,potwierdzający,adj
potwierdzających,potwierdzający,adj
potwierdzającym,potwierdzający,adj
potwierdzającymi,potwierdzający,adj
potwierdzającą,potwierdzający,adj
potwierdzane,potwierdzać,ppas
potwierdzania,potwierdzać,ger
potwierdzanie,potwierdzać,ger
potwierdzać,potwierdzać,inf
potwierdzał,potwierdzać,praet
potwierdzenia,potwierdzenie,subst
potwierdzeniami,potwierdzenie,subst
potwierdzenie,potwierdzenie,subst
potwierdzeniem,potwierdzenie,subst
potwierdzeniu,potwierdzenie,subst
potwierdzeń,potwierdzenie,subst
potwierdzi,potwierdzić,fin
potwierdzić,potwierdzić,inf
potwierdził,potwierdzić,praet
potwierdziło,potwierdzić,praet
potwierdziły,potwierdzić,praet
potwierdzona,potwierdzić,ppas
potwierdzone,potwierdzić,ppas
potwierdzonego,potwierdzić,ppas
potwierdzonej,potwierdzić,ppas
potwierdzonemu,potwierdzić,ppas
potwierdzono,potwierdzić,imps
potwierdzony,potwierdzić,ppas
potwierdzonych,potwierdzić,ppas
potwierdzonym,potwierdzić,ppas
potwierdzonymi,potwierdzić,ppas
potwierdzoną,potwierdzić,ppas
potwierdzą,potwierdzić,fin
potępienie,potępienie,subst
poubojowe,poubojowy,adj
poubojowego,poubojowy,adj
poubojowej,poubojowy,adj
poubojowych,poubojowy,adj
poucza,pouczać,fin
pouczając,pouczać,pcon
pouczenia,pouczenie,subst
pouczenie,pouczenie,subst
pouczeniem,pouczenie,subst
pouczeniu,pouczenie,subst
pouczeń,pouczenie,subst
pouczona,pouczyć,ppas
pouczone,pouczyć,ppas
pouczony,pouczyć,ppas
pouczyć,pouczyć,inf
poufna,poufny,adj
poufne,poufny,adj
poufności,poufność,subst
poufność,poufność,subst
poufny,poufny,adj
poufnych,poufny,adj
poufnym,poufny,adj
poufnymi,poufny,adj
poultry,poultry,ign
poużytkowy,poużytkowy,adj
poużytkowych,poużytkowy,adj
poużytkowym,poużytkowy,adj
poużytkowymi,poużytkowy,adj
powadze,powaga,subst
powaga,powaga,subst
powagi,powaga,subst
powagą,powaga,subst
powagę,powaga,subst
powalone,powalić,ppas
powalonego,powalić,ppas
poważna,poważny,adj
poważne,poważny,adj
poważnego,poważny,adj
poważnej,poważny,adj
poważnemu,poważny,adj
poważnie,poważnie,adv
poważniejsze,poważny,adj
poważniejszych,poważny,adj
poważny,poważny,adj
poważnych,poważny,adj
poważnym,poważny,adj
poważnymi,poważny,adj
poważną,poważny,adj
poweźmie,powziąć,fin
powia,powia,ign
powiadamia,powiadamiać,fin
powiadamiają,powiadamiać,fin
powiadamiając,powiadamiać,pcon
powiadamiający,powiadamiać,pact
powiadamianego,powiadamiać,ppas
powiadamiania,powiadamiać,ger
powiadamianie,powiadamiać,ger
powiadamiany,powiadamiać,ppas
powiadamiać,powiadamiać,inf
powiadomi,powiadomić,fin
powiadomieni,powiadomić,ppas
powiadomienia,powiadomienie,subst
powiadomienie,powiadomienie,subst
powiadomieniem,powiadomienie,subst
powiadomieniu,powiadomienie,subst
powiadomień,powiadomienie,subst
powiadomiona,powiadomić,ppas
powiadomione,powiadomić,ppas
powiadomionego,powiadomić,ppas
powiadomiony,powiadomić,ppas
powiadomionych,powiadomić,ppas
powiadomić,powiadomić,inf
powiadomił,powiadomić,praet
powiadomiła,powiadomić,praet
powiadomiły,powiadomić,praet
powiat,powiat,subst
powiatach,powiat,subst
powiatami,powiat,subst
powiatem,powiat,subst
powiatom,powiat,subst
powiatowa,powiatowy,adj
powiatowe,powiatowy,adj
powiatowego,powiatowy,adj
powiatowej,powiatowy,adj
powiatowemu,powiatowy,adj
powiatowi,powiat,subst
powiatowy,powiatowy,adj
powiatowych,powiatowy,adj
powiatowym,powiatowy,adj
powiatowymi,powiatowy,adj
powiatową,powiatowy,adj
powiatu,powiat,subst
powiaty,powiat,subst
powiatów,powiat,subst
powiecie,powiat,subst
powielania,powielać,ger
powiernicza,powierniczy,adj
powiernicze,powierniczy,adj
powierniczego,powierniczy,adj
powierniczej,powierniczy,adj
powierniczemu,powierniczy,adj
powierniczy,powierniczy,adj
powierniczych,powierniczy,adj
powierniczym,powierniczy,adj
powiernik,powiernik,subst
powierza,powierzać,fin
powierzają,powierzać,fin
powierzając,powierzać,pcon
powierzającego,powierzać,pact
powierzający,powierzać,pact
powierzane,powierzać,ppas
powierzania,powierzać,ger
powierzanie,powierzać,ger
powierzaniu,powierzać,ger
powierzanych,powierzać,ppas
powierzać,powierzać,inf
powierzchni,powierzchnia,subst
powierzchnia,powierzchnia,subst
powierzchniach,powierzchnia,subst
powierzchnie,powierzchnia,subst
powierzchniowa,powierzchniowy,adj
powierzchniowe,powierzchniowy,adj
powierzchniowej,powierzchniowy,adj
powierzchniowo,powierzchniowo,adv
powierzchniowoczynnych,powierzchniowoczynny,adj
powierzchniowych,powierzchniowy,adj
powierzchniowymi,powierzchniowy,adj
powierzchniową,powierzchniowy,adj
powierzchnią,powierzchnia,subst
powierzchnię,powierzchnia,subst
powierzenia,powierzenie,subst
powierzenie,powierzenie,subst
powierzeniem,powierzenie,subst
powierzeniu,powierzenie,subst
powierzona,powierzyć,ppas
powierzone,powierzyć,ppas
powierzonego,powierzyć,ppas
powierzonej,powierzyć,ppas
powierzono,powierzyć,imps
powierzony,powierzyć,ppas
powierzonych,powierzyć,ppas
powierzonym,powierzyć,ppas
powierzonymi,powierzyć,ppas
powierzoną,powierzyć,ppas
powierzy,powierzyć,fin
powierzyli,powierzyć,praet
powierzyć,powierzyć,inf
powierzył,powierzyć,praet
powierzyło,powierzyć,praet
powierzą,powierzyć,fin
powietrza,powietrze,subst
powietrze,powietrze,subst
powietrzem,powietrze,subst
powietrzne,powietrzny,adj
powietrznego,powietrzny,adj
powietrznej,powietrzny,adj
powietrznemu,powietrzny,adj
powietrzny,powietrzny,adj
powietrznych,powietrzny,adj
powietrznym,powietrzny,adj
powietrznymi,powietrzny,adj
powietrzną,powietrzny,adj
powietrzu,powietrze,subst
powiniem,powiniem,ign
powinien,powinien,winien
powinna,powinny,adj
powinni,powinny,adj
powinno,powinien,winien
powinności,powinność,subst
powinnością,powinność,subst
powinność,powinność,subst
powinny,powinny,adj
powinowaci,powinowaty,subst
powinowactwa,powinowactwo,subst
powinowactwie,powinowactwo,subst
powinowactwo,powinowactwo,subst
powinowaty,powinowaty,subst
powinowatych,powinowata,subst
powinowatym,powinowata,subst
powinowatymi,powinowata,subst
powitań,powitanie,subst
powizytacyjnych,powizytacyjny,adj
powiąz,powiąz,ign
powiązana,powiązać,ppas
powiązane,powiązać,ppas
powiązanego,powiązać,ppas
powiązanej,powiązać,ppas
powiązanemu,powiązać,ppas
powiązani,powiązać,ppas
powiązania,powiązanie,subst
powiązaniach,powiązanie,subst
powiązanie,powiązanie,subst
powiązaniu,powiązanie,subst
powiązany,powiązać,ppas
powiązanych,powiązać,ppas
powiązanym,powiązać,ppas
powiązanymi,powiązać,ppas
powiązaną,powiązać,ppas
powiązać,powiązać,inf
powiązań,powiązanie,subst
powiększa,powiększać,fin
powiększają,powiększać,fin
powiększając,powiększać,pcon
powiększających,powiększać,pact
powiększania,powiększać,ger
powiększanie,powiększać,ger
powiększaniu,powiększać,ger
powiększenia,powiększenie,subst
powiększenie,powiększenie,subst
powiększeniem,powiększenie,subst
powiększeniu,powiększenie,subst
powiększona,powiększyć,ppas
powiększone,powiększyć,ppas
powiększonego,powiększyć,ppas
powiększonej,powiększyć,ppas
powiększonemu,powiększyć,ppas
powiększony,powiększyć,ppas
powiększonych,powiększyć,ppas
powiększonym,powiększyć,ppas
powiększonymi,powiększyć,ppas
powiększoną,powiększyć,ppas
powiększyć,powiększyć,inf
powiększyły,powiększyć,praet
powlekających,powlekać,pact
powlekana,powlekać,ppas
powlekane,powlekać,ppas
powlekanego,powlekać,ppas
powlekania,powlekać,ger
powlekanie,powlekać,ger
powlekany,powlekać,ppas
powlekanych,powlekać,ppas
powo,powo,ign
powoda,powód,subst
powodach,powód,subst
powodami,powód,subst
powodem,powód,subst
powodowane,powodować,ppas
powodowanego,powodować,ppas
powodowania,powodować,ger
powodowanie,powodować,ger
powodowaniu,powodować,ger
powodowanych,powodować,ppas
powodowanym,powodować,ppas
powodowanymi,powodować,ppas
powodować,powodować,inf
powodowała,powodować,praet
powodowała,powodować,praet
by,by,qub
powodował,powodować,praet
by,by,qub
powodowało,powodować,praet
powodowało,powodować,praet
by,by,qub
powodowały,powodować,praet
powodowi,powód,subst
powodową,powodowy,adj
powodu,powód,subst
powoduje,powodować,fin
powodują,powodować,fin
powodując,powodować,pcon
powodująca,powodować,pact
powodujące,powodować,pact
powodującego,powodować,pact
powodującej,powodować,pact
powodującemu,powodować,pact
powodujący,powodować,pact
powodujących,powodować,pact
powodującym,powodować,pact
powodującymi,powodować,pact
powodującą,powodować,pact
powody,powód,subst
powodzi,powódź,subst
powodziami,powódź,subst
powodzian,powodzianin,subst
powodzie,powód,subst
powodziowej,powodziowy,adj
powodziowych,powodziowy,adj
powodziowymi,powodziowy,adj
powodzią,powódź,subst
powodów,powód,subst
powojennego,powojenny,adj
powojennym,powojenny,adj
powoli,powoli,adv
powolny,powolny,adj
powolnych,powolny,adj
powozów,powóz,subst
powoła,powołać,fin
powołają,powołać,fin
powołali,powołać,praet
powołana,powołany,adj
powołane,powołany,adj
powołanego,powołany,adj
powołanej,powołany,adj
powołanemu,powołany,adj
powołani,powołany,adj
powołania,powołanie,subst
powołanie,powołanie,subst
powołaniem,powołanie,subst
powołaniu,powołanie,subst
powołano,powołać,imps
powołany,powołany,adj
powołanych,powołany,adj
powołanym,powołany,adj
powołanymi,powołany,adj
powołaną,powołany,adj
powołać,powołać,inf
powołał,powołać,praet
powołała,powołać,praet
powołały,powołać,praet
powołuje,powoływać,fin
powołują,powoływać,fin
powołując,powoływać,pcon
powołująca,powoływać,pact
powołujące,powoływać,pact
powołującego,powoływać,pact
powołujący,powoływać,pact
powołujących,powoływać,pact
powołującym,powoływać,pact
powoływana,powoływać,ppas
powoływane,powoływać,ppas
powoływanego,powoływać,ppas
powoływanej,powoływać,ppas
powoływanemu,powoływać,ppas
powoływani,powoływać,ppas
powoływania,powoływać,ger
powoływanie,powoływać,ger
powoływaniu,powoływać,ger
powoływany,powoływać,ppas
powoływanych,powoływać,ppas
powoływanym,powoływać,ppas
powoływaną,powoływać,ppas
powoływać,powoływać,inf
powożenia,powozić,ger
powożenie,powozić,ger
powożącego,powozić,pact
powożący,powozić,pact
powożących,powozić,pact
powożącym,powozić,pact
powożącą,powozić,pact
powraca,powracać,fin
powracają,powracać,fin
powracające,powracać,pact
powracającego,powracać,pact
powracającej,powracać,pact
powracających,powracać,pact
powracającym,powracać,pact
powracającą,powracać,pact
powrocie,powrót,subst
powrotem,powrót,subst
powrotna,powrotny,adj
powrotnego,powrotne,subst
powrotnej,powrotny,adj
powrotnie,powrotnie,adv
powrotny,powrotny,subst
powrotnym,powrotne,subst
powrotowi,powrót,subst
powrotu,powrót,subst
powroza,powróz,subst
powrozy,powróz,subst
powróci,powrócić,fin
powrócić,powrócić,inf
powrócił,powrócić,praet
powróciła,powrócić,praet
powróciły,powrócić,praet
powrót,powrót,subst
powróz,powróz,subst
powstaje,powstawać,fin
powstają,powstawać,fin
powstające,powstawać,pact
powstającego,powstawać,pact
powstającej,powstawać,pact
powstający,powstawać,pact
powstających,powstawać,pact
powstającym,powstawać,pact
powstającymi,powstawać,pact
powstającą,powstawać,pact
powstali,powstały,adj
powstania,powstanie,subst
powstaniach,powstanie,subst
powstanie,powstanie,subst
powstaniem,powstanie,subst
powstaniu,powstanie,subst
powstaną,powstać,fin
powstawania,powstawanie,subst
powstawanie,powstawanie,subst
powstawaniem,powstawanie,subst
powstawaniu,powstawanie,subst
powstawać,powstawać,inf
powstać,powstać,inf
powstał,powstać,praet
powstała,powstały,adj
powstała,powstać,praet
by,by,qub
powstał,powstać,praet
by,by,qub
powstałe,powstały,adj
powstałego,powstały,adj
powstałej,powstały,adj
powstałemu,powstały,adj
powstało,powstać,praet
powstało,powstać,praet
by,by,qub
powstały,powstały,adj
powstałych,powstały,adj
powstałym,powstały,adj
powstałymi,powstały,adj
powstałą,powstały,adj
powstań,powstanie,subst
powstańczego,powstańczy,adj
powstańczy,powstańczy,adj
powstańców,powstaniec,subst
powstrzymania,powstrzymać,ger
powstrzymanie,powstrzymać,ger
powstrzymaną,powstrzymać,ppas
powstrzymać,powstrzymać,inf
powstrzymuje,powstrzymywać,fin
powszechna,powszechny,adj
powszechne,powszechny,adj
powszechnego,powszechny,adj
powszechnej,powszechny,adj
powszechnemu,powszechny,adj
powszechnie,powszechnie,adv
powszechności,powszechność,subst
powszechność,powszechność,subst
powszechny,powszechny,adj
powszechnych,powszechny,adj
powszechnym,powszechny,adj
powszechnymi,powszechny,adj
powszechną,powszechny,adj
powszednie,powszedni,adj
powtarza,powtarzać,fin
powtarzając,powtarzać,pcon
powtarzające,powtarzać,pact
powtarzającego,powtarzać,pact
powtarzający,powtarzać,pact
powtarzających,powtarzać,pact
powtarzalnego,powtarzalny,adj
powtarzalnej,powtarzalny,adj
powtarzalności,powtarzalność,subst
powtarzalność,powtarzalność,subst
powtarzalny,powtarzalny,adj
powtarzalnych,powtarzalny,adj
powtarzana,powtarzać,ppas
powtarzane,powtarzać,ppas
powtarzania,powtarzać,ger
powtarzany,powtarzać,ppas
powtarzanych,powtarzać,ppas
powtrnego,powtrnego,ign
powtórna,powtórny,adj
powtórne,powtórny,adj
powtórnego,powtórny,adj
powtórnej,powtórny,adj
powtórnemu,powtórny,adj
powtórnie,powtórnie,adv
powtórny,powtórny,adj
powtórnym,powtórny,adj
powtórną,powtórny,adj
powtórzenia,powtórzenie,subst
powtórzenie,powtórzenie,subst
powtórzeniu,powtórzenie,subst
powtórzone,powtórzyć,ppas
powtórzony,powtórzyć,ppas
powtórzyć,powtórzyć,inf
powykonawczej,powykonawczy,adj
powykonawczą,powykonawczy,adj
powypadkowe,powypadkowy,adj
powypadkowego,powypadkowy,adj
powypadkowej,powypadkowy,adj
powypadkowy,powypadkowy,adj
powypadkowymi,powypadkowy,adj
powyż,powyż,adv
powyżej,powyżej,adv
powyższe,powyższe,subst
powyższego,powyższe,subst
powyższej,powyższy,adj
powyższy,powyższy,adj
powyższych,powyższe,subst
powyższym,powyższe,subst
powyższą,powyższy,adj
powziąwszy,powziąć,pant
powziąć,powziąć,inf
powziął,powziąć,praet
powziął,powziąć,praet
em,być,aglt
powzięcia,powziąć,ger
powzięcie,powziąć,ger
powzięciem,powziąć,ger
powzięciu,powziąć,ger
powzięli,powziąć,praet
powzięta,powziąć,ppas
powzięte,powziąć,ppas
powziętego,powziąć,ppas
powziętej,powziąć,ppas
powzięto,powziąć,imps
powziętych,powziąć,ppas
powziętą,powziąć,ppas
powzięło,powziąć,praet
powzięły,powziąć,praet
powód,powód,subst
powództw,powództwo,subst
powództwa,powództwo,subst
powództwem,powództwo,subst
powództwie,powództwo,subst
powództwo,powództwo,subst
powódź,powódź,subst
powłok,powłok,subst
powłokami,powłok,subst
powłoki,powłok,subst
pox,pox,ign
poz,poz,ign
poza,poza,prep
pozaaptecznego,pozaapteczny,adj
pozabilansowe,pozabilansowy,adj
pozabilansowych,pozabilansowy,adj
pozabudżetowe,pozabudżetowy,adj
pozabudżetowej,pozabudżetowy,adj
pozabudżetowych,pozabudżetowy,adj
pozacenowych,pozacenowy,adj
pozachromosomową,pozachromosomowy,adj
pozaetatowego,pozaetatowy,adj
pozaetatowi,pozaetatowy,adj
pozaetatowy,pozaetatowy,adj
pozaetatowych,pozaetatowy,adj
pozaetatowym,pozaetatowy,adj
pozagiełdowe,pozagiełdowy,adj
pozagiełdowego,pozagiełdowy,adj
pozagiełdowy,pozagiełdowy,adj
pozagiełdowym,pozagiełdowy,adj
pozagospodarczego,pozagospodarczy,adj
pozagospodarczy,pozagospodarczy,adj
pozainstancyjnego,pozainstancyjny,adj
pozainstancyjny,pozainstancyjny,adj
pozajelitowego,pozajelitowy,adj
pozakrajowej,pozakrajowy,adj
pozaksięgowej,pozaksięgowy,adj
pozaksięgową,pozaksięgowy,adj
pozalekcyjne,pozalekcyjny,adj
pozalekcyjnych,pozalekcyjny,adj
pozamuzealnymi,pozamuzealny,adj
pozaplanowe,pozaplanowy,adj
pozapłacowe,pozapłacowy,adj
pozarolnicza,pozarolniczy,adj
pozarolnicze,pozarolniczy,adj
pozarolniczej,pozarolniczy,adj
pozarolnicznej,pozarolnicznej,ign
pozarolniczych,pozarolniczy,adj
pozarolniczą,pozarolniczy,adj
pozarządowa,pozarządowy,adj
pozarządowe,pozarządowy,adj
pozarządowej,pozarządowy,adj
pozarządowych,pozarządowy,adj
pozarządowym,pozarządowy,adj
pozarządowymi,pozarządowy,adj
pozastudyjnych,pozastudyjny,adj
pozaszkolnego,pozaszkolny,adj
pozaszkolnej,pozaszkolny,adj
pozaszkolnych,pozaszkolny,adj
pozaszpitalnych,pozaszpitalny,adj
pozasądowych,pozasądowy,adj
pozasłużbowego,pozasłużbowy,adj
pozasłużbowych,pozasłużbowy,adj
pozataryfowa,pozataryfowy,adj
pozataryfowe,pozataryfowy,adj
pozataryfowej,pozataryfowy,adj
pozataryfowych,pozataryfowy,adj
pozatechnicznego,pozatechniczny,adj
pozaubezpieczeniowych,pozaubezpieczeniowy,adj
pozaumownej,pozaumowny,adj
pozaustrojowe,pozaustrojowy,adj
pozawerbalne,pozawerbalny,adj
pozawspólnotowych,pozawspólnotowy,adj
pozbawi,pozbawić,fin
pozbawia,pozbawiać,fin
pozbawiają,pozbawiać,fin
pozbawiająca,pozbawiać,pact
pozbawiania,pozbawiać,ger
pozbawianie,pozbawiać,ger
pozbawianiu,pozbawiać,ger
pozbawieni,pozbawić,ppas
pozbawienia,pozbawienie,subst
pozbawienie,pozbawienie,subst
pozbawieniem,pozbawienie,subst
pozbawieniu,pozbawienie,subst
pozbawiona,pozbawić,ppas
pozbawione,pozbawić,ppas
pozbawionego,pozbawić,ppas
pozbawionej,pozbawić,ppas
pozbawionemu,pozbawić,ppas
pozbawiono,pozbawić,imps
pozbawiony,pozbawić,ppas
pozbawionych,pozbawić,ppas
pozbawionym,pozbawić,ppas
pozbawionymi,pozbawić,ppas
pozbawioną,pozbawić,ppas
pozbawić,pozbawić,inf
pozbycia,pozbyć,ger
pozbycie,pozbyć,ger
pozbywa,pozbywać,fin
pozbywania,pozbywać,ger
pozbywanie,pozbywać,ger
pozbyć,pozbyć,inf
pozbył,pozbyć,praet
pozew,pozew,subst
poziom,poziom,subst
poziomach,poziom,subst
poziomami,poziom,subst
poziome,poziomy,adj
poziomego,poziomy,adj
poziomej,poziomy,adj
poziomem,poziom,subst
poziomie,poziom,subst
poziomowi,poziom,subst
poziomu,poziom,subst
poziomy,poziom,subst
poziomym,poziomy,adj
poziomów,poziom,subst
poznane,poznać,ppas
poznania,poznanie,subst
poznanie,poznanie,subst
poznaniu,poznanie,subst
poznawcze,poznawczy,adj
poznawczego,poznawczy,adj
poznawczej,poznawczy,adj
poznawczych,poznawczy,adj
poznawczym,poznawczy,adj
poznań,poznanie,subst
poznański,poznański,adj
poznańskiego,poznański,adj
pozoracji,pozoracja,subst
pozornej,pozorny,adj
pozornie,pozornie,adv
pozornych,pozorny,adj
pozorną,pozorny,adj
pozorolniczych,pozorolniczych,ign
pozostaje,pozostawać,fin
pozostają,pozostawać,fin
pozostając,pozostawać,pcon
pozostająca,pozostawać,pact
pozostające,pozostawać,pact
pozostającego,pozostawać,pact
pozostającej,pozostawać,pact
pozostającemu,pozostawać,pact
pozostający,pozostawać,pact
pozostających,pozostawać,pact
pozostającym,pozostawać,pact
pozostającymi,pozostawać,pact
pozostającą,pozostawać,pact
pozostali,pozostały,adj
pozostalości,pozostalości,ign
pozostania,pozostać,ger
pozostanie,pozostać,ger
pozostawali,pozostawać,praet
pozostawania,pozostawać,ger
pozostawanie,pozostawać,ger
pozostawaniem,pozostawać,ger
pozostawaniu,pozostawać,ger
pozostawać,pozostawać,inf
pozostawał,pozostawać,praet
pozostawała,pozostawać,praet
pozostawało,pozostawać,praet
pozostawały,pozostawać,praet
pozostawały,pozostawać,praet
by,by,qub
pozostawia,pozostawiać,fin
pozostawiają,pozostawiać,fin
pozostawiając,pozostawiać,pcon
pozostawiające,pozostawiać,pact
pozostawiania,pozostawiać,ger
pozostawienia,pozostawić,ger
pozostawienie,pozostawić,ger
pozostawieniem,pozostawić,ger
pozostawieniu,pozostawić,ger
pozostawiona,pozostawić,ppas
pozostawione,pozostawić,ppas
pozostawionego,pozostawić,ppas
pozostawionemu,pozostawić,ppas
pozostawiono,pozostawić,imps
pozostawiony,pozostawić,ppas
pozostawionych,pozostawić,ppas
pozostawić,pozostawić,inf
pozostawił,pozostawić,praet
pozostać,pozostać,inf
pozostał,pozostać,praet
pozostała,pozostały,adj
pozostał,pozostać,praet
by,by,qub
pozostałe,pozostały,adj
pozostałego,pozostały,adj
pozostałej,pozostały,adj
pozostało,pozostać,praet
pozostałości,pozostałość,subst
pozostałościami,pozostałość,subst
pozostałością,pozostałość,subst
pozostałość,pozostałość,subst
pozostały,pozostały,adj
pozostałyc,pozostałyc,ign
pozostałych,pozostały,adj
pozostałym,pozostały,adj
pozostałymi,pozostały,adj
pozostałą,pozostały,adj
pozwala,pozwalać,fin
pozwalają,pozwalać,fin
pozwalająca,pozwalać,pact
pozwalające,pozwalać,pact
pozwalającego,pozwalać,pact
pozwalającej,pozwalać,pact
pozwalający,pozwalać,pact
pozwalających,pozwalać,pact
pozwalającym,pozwalać,pact
pozwalającymi,pozwalać,pact
pozwalającą,pozwalać,pact
pozwalała,pozwalać,praet
pozwalało,pozwalać,praet
pozwalały,pozwalać,praet
pozwana,pozwana,subst
pozwanego,pozwany,subst
pozwanej,pozwana,subst
pozwanemu,pozwany,subst
pozwani,pozwany,subst
pozwano,pozwać,imps
pozwany,pozwany,subst
pozwanych,pozwana,subst
pozwaną,pozwana,subst
pozwem,pozew,subst
pozwie,pozew,subst
pozwolenia,pozwolenie,subst
pozwoleniach,pozwolenie,subst
pozwoleniami,pozwolenie,subst
pozwolenie,pozwolenie,subst
pozwoleniem,pozwolenie,subst
pozwoleniu,pozwolenie,subst
pozwoleń,pozwolenie,subst
pozwoli,pozwolić,fin
pozwolić,pozwolić,inf
pozwoliła,pozwolić,praet
pozwoliło,pozwolić,praet
by,by,qub
pozwolą,pozwolić,fin
pozwu,pozew,subst
pozwów,pozew,subst
pozycja,pozycja,subst
pozycjach,pozycja,subst
pozycjami,pozycja,subst
pozycje,pozycja,subst
pozycji,pozycja,subst
pozycją,pozycja,subst
pozycję,pozycja,subst
pozycyjnych,pozycyjny,adj
pozyskana,pozyskać,ppas
pozyskane,pozyskać,ppas
pozyskanego,pozyskać,ppas
pozyskanej,pozyskać,ppas
pozyskania,pozyskanie,subst
pozyskanie,pozyskanie,subst
pozyskaniem,pozyskanie,subst
pozyskaniu,pozyskanie,subst
pozyskany,pozyskać,ppas
pozyskanych,pozyskać,ppas
pozyskanymi,pozyskać,ppas
pozyskaną,pozyskać,ppas
pozyskać,pozyskać,inf
pozyskał,pozyskać,praet
pozyskiwane,pozyskiwać,ppas
pozyskiwanej,pozyskiwać,ppas
pozyskiwania,pozyskiwać,ger
pozyskiwanie,pozyskiwać,ger
pozyskiwaniem,pozyskiwać,ger
pozyskiwaniu,pozyskiwać,ger
pozyskiwanych,pozyskiwać,ppas
pozyskiwanymi,pozyskiwać,ppas
pozyskiwaną,pozyskiwać,ppas
pozyskiwać,pozyskiwać,inf
pozyskuje,pozyskiwać,fin
pozyskujące,pozyskiwać,pact
pozytywna,pozytywny,adj
pozytywne,pozytywny,adj
pozytywnego,pozytywny,adj
pozytywnej,pozytywny,adj
pozytywnie,pozytywnie,adv
pozytywny,pozytywny,adj
pozytywnych,pozytywny,adj
pozytywnym,pozytywny,adj
pozytywną,pozytywny,adj
pozywających,pozywać,pact
pozywana,pozywać,ppas
pozywane,pozywać,ppas
pozywany,pozywać,ppas
pozywać,pozywać,inf
pozłacanie,pozłacać,ger
pozłacanych,pozłacany,adj
